"Project","Primary","trackID","From","To","Type","Ownership","Note","Connected","modin","modout","status"
"NCarolina","Loville House Trail","LOVILLE","Backyard","Top of Hill","2024","Public",NA,"NA, NA",2024-07-05 22:11:05.945448,NA,"NEW"
"NCarolina","Rhodiss Lake Trail","RHODISS","Parking Lot","Parking Lot","2024","Public",NA,"NA, NA",2024-07-05 22:11:13.396738,NA,"NEW"
"NCarolina","Boone Fork Trail","BOONEFORK","Parking Lot","Parking Lot","2024","Public",NA,"NA, NA",2024-07-05 22:10:54.73052,NA,"NEW"
"NCarolina","Shortoff Mountain Trail","SHORTOFF","Parking Lot","Valley overlook","2024","Public",NA,"NA, NA",2024-07-05 22:11:20.631077,NA,"NEW"
