"Project","Primary","trackID","From","To","Type","Ownership","Note","Connected","modin","modout","status"
"Colorado","Funicular Trail","RRFNCLR","Upper North parking lot","Trading Post Rd","2024","Public",NA,"NA, NA",2024-11-05 16:45:07.406317,NA,"NEW"
"Colorado","Trading Post Trail","RRTPST1","Ship Rock Rd / Upper South parking lot","Frog Rock Trail","2024","Public",NA,"NA, RRFROG1",2024-11-05 16:44:06.06926,NA,"NEW"
"Colorado","Trading Post Trail","RRTPST3","Frog Rock Trail","Red Rocks Park Rd","2024","Public",NA,"RRFROG1, RRTPST4",2024-11-05 16:44:12.277336,NA,"NEW"
"Colorado","Trading Post Trail","RRTPST4","Red Rocks Park Rd","Mount Vernon Creek Trail","2024","Public",NA,"RRTPST3, RRTPST5, RRMVC2",2024-11-05 16:44:17.557594,NA,"NEW"
"Colorado","Trading Post Trail","RRTPST5","Mount Vernon Creek Trail","Red Rocks Park Rd","2024","Public",NA,"RRTPST4, RRMVC2, RRTPST6",2024-11-05 16:44:23.215376,NA,"NEW"
"Colorado","Trading Post Trail","RRTPST6","Red Rocks Park Rd","Trading Post / Trading Post Rd","2024","Public",NA,"RRTPST5, NA",2024-11-05 16:44:33.469641,NA,"NEW"
"Colorado","Frog Rock Trail","RRFROG1","Trading Post Trail","Trading Post Trail","2024","Public",NA,"NA, NA",2024-11-05 16:44:00.232798,NA,"NEW"
"Colorado","Geologic Overlook Trail","RRGLGC","Upper North parking lot","Plains View Rd","2024","Public",NA,"NA, NA",2024-11-05 17:26:15.11829,NA,"NEW"
"Colorado","Dinosaur Ridge Park Road","RRDINO1","CR-93 parking lot","Dinosaur Bone Bed exhibit","2024","Public",NA,"NA, RRDINO2",2024-11-05 17:55:37.938959,NA,"NEW"
"Colorado","Dinosaur Ridge Park Road","RRDINO2","Dinosaur Bone Bed exhibit","Apatosaurus Bulges exhibit","2024","Public",NA,"RRDINO1, RRDINO3",2024-11-05 17:55:43.878271,NA,"NEW"
"Colorado","Dinosaur Ridge Park Road","RRDINO3","Apatosaurus Bulges exhibit","Dinosaur Bone exhibit","2024","Public",NA,"RRDINO2, RRDINO4",2024-11-05 17:55:48.307037,NA,"NEW"
"Colorado","Dinosaur Ridge Park Road","RRDINO4","Dinosaur Bone exhibit","Overlook to Red Rocsk","2024","Public",NA,"RRDINO3, RRDINO5",2024-11-05 17:55:53.000692,NA,"NEW"
