"Project","Primary","trackID","From","To","Type","Ownership","Note","Connected","modin","modout","status"
"RLWA","Anderson Grade Trail","ANDG02","Anderson Lake Trail","North Country Trail","Trail","Public","Old RR?","ANDG01, ANDL01, ANDG03, NCTBF037, NCTBF038",2024-03-18 16:03:55.008892,2024-03-18 16:04:02.464001,"EXISTING"
"RLWA","Anderson Grade Trail","ANDG03","North Country Trail","Bufo Lake Trail","Trail","Public","Old RR?","ANDG02, NCTBF037, NCTBF038, ANDG04, BUFO01",2024-03-18 16:03:55.010902,2024-03-18 16:04:02.50598,"EXISTING"
"RLWA","Anderson Grade Trail","ANDG04","Bufo Lake Trail","Clay Lake Trail","Trail","Public","Old RR?","ANDG03, BUFO01, ANDG05, CLAY01",2024-03-18 16:03:55.012901,2024-03-18 16:04:02.557953,"EXISTING"
"RLWA","Anderson Grade Trail","ANDG05","Clay Lake Trail","Delta-Drummond Rd","Trail","Public","Old RR?","ANDG04, CLAY01, NA",2024-03-18 16:03:55.013889,2024-03-18 16:04:02.607918,"EXISTING"
"RLWA","Anderson Lake Trail","ANDL01","Anderson Grade Trail","Anderson Lake","Trail","Public",NA,"ANDG01, ANDG02, NA",2024-03-18 16:03:55.0159,2024-03-18 16:04:02.647896,"EXISTING"
"RLWA","Bufo Lake Trail","BUFO01","Anderson Grade Trail","Bufo Lake","Trail","Public",NA,"ANDG03, ANDG04, NA",2024-03-18 16:03:55.016897,2024-03-18 16:04:02.687859,"EXISTING"
"RLWA","Bufo Lake Trail","BUFO02","North Country Trail","Bufo Lake","Trail","Public",NA,"NCTBF038, NCTBF039, NA",2024-03-18 16:03:55.018887,2024-03-18 16:04:02.726851,"EXISTING"
"RLWA","Clay Lake Trail","CLAY01","Anderson Grade Trail","Clay Lake","Trail","Public",NA,"ANDG04, ANDG05, NA",2024-03-18 16:03:55.020885,2024-03-18 16:04:02.770811,"EXISTING"
"RLWA","Wishbone Lake trail","WSHB01","North Country Trail","Wishbone Lake","Trail","Public",NA,"NCTBF040, NCTBF041, NA",2024-03-18 16:03:55.026894,2024-03-18 16:04:02.80979,"EXISTING"
"RLWA","North Country Trail","NCTBF038","Anderson Grade Trail","Bufo Lake trail","NCT","Public",NA,"NCTBF037, ANDG02, ANDG03, NCTBF039, BUFO02",2024-03-18 16:03:54.9979,2024-03-18 16:04:02.85078,"EXISTING"
"RLWA","North Country Trail","NCTBF039","Bufo Lake trail","Reynard Lake trail","NCT","Public",NA,"NCTBF038, BUFO02, NCTBF040",2024-03-18 16:03:54.999908,2024-03-18 16:04:02.899752,"EXISTING"
"RLWA","North Country Trail","NCTBF040","Reynard Lake trail","Wishbone Lake trail","NCT","Public",NA,"NCTBF040, NCTBF041, WSHB01",2024-03-18 16:03:55.001907,2024-03-18 16:04:02.952726,"EXISTING"
"RLWA","North Country Trail","NCTBF041","Wishbone Lake trail","Reynard Lake Rd","NCT","Public",NA,"NCTBF040, WSHB01, NA",2024-03-18 16:03:55.004896,2024-03-18 16:04:02.996696,"EXISTING"
