"Project","Primary","trackID","From","To","Type","Ownership","Note","Connected","modin","modout","status"
"Iron River Area","Huffgard Rd","DEAD100","Huffgard Rd",NA,"Trail","Public",NA,"HGRD07, HGRD08, NA",2023-07-22 19:37:10.812046,2024-03-05 17:09:00.653749,"EXISTING"
"Iron River Area","Huffgard Rd","DEAD101","Huffgard Rd",NA,"Trail","Public",NA,"HGRD03, HRGD05, NA",2023-07-22 19:36:07.965958,2024-03-05 17:09:00.672737,"EXISTING"
"Iron River Area","Unnamed off Banana Belt Rd","DEAD102","Unnamed off Banana Belt Rd","Private property (marked)","Trail","Public",NA,"TRBB20, TRBB21, NA",2023-08-01 21:03:17.50551,2024-03-05 17:09:00.774679,"EXISTING"
"Iron River Area","Unnamed off Banana Belt Rd","DEAD103","Unnamed off Banana Belt Rd",NA,"Trail","Public",NA,"TRBB21, NA",2023-08-01 21:02:46.029375,2024-03-05 17:09:00.789671,"EXISTING"
"Iron River Area","Webster Rd","DEAD104","Webster Rd",NA,"Offroad","Public",NA,"WBSR04, NA",2023-08-04 16:39:14.924917,2024-03-05 17:09:00.802666,"EXISTING"
"Iron River Area","Unnamed from Banana Belt Rd to Webster Rd","DEAD105","Unnamed from Banana Belt Rd to Webster Rd",NA,"Trail","Public",NA,"TRBB21, TRBB22, NA",2023-08-04 16:37:44.247086,2024-03-05 17:09:00.818653,"EXISTING"
"Iron River Area","North Coutry Trail","DEAD106","North Coutry Trail",NA,"Trail","Public",NA,"TRBB31, NCTBF016, NCTBF017, NA",2023-08-06 08:56:40.107676,2024-03-05 17:09:00.828648,"EXISTING"
"Iron River Area","Unnamed off Banana Belt Rd","DEAD107","Unnamed off Banana Belt Rd",NA,"Offroad","Public",NA,"TRBB35, NA",2023-08-06 08:55:25.875847,2024-03-05 17:09:00.83964,"EXISTING"
"Iron River Area","Unnamed off Banana Belt Rd","DEAD108","Unnamed off Banana Belt Rd",NA,"Trail","Public",NA,"TRBB35, TRBB36, NA",2023-08-06 08:56:16.826462,2024-03-05 17:09:00.860628,"EXISTING"
"Iron River Area","Unnamed off Banana Belt Rd","DEAD109","Unnamed off Banana Belt Rd",NA,"Trail","Public",NA,"TRBB27, TRBB28, DEAD110, NA",2023-08-11 11:50:31.302559,2024-03-05 17:09:00.873623,"EXISTING"
"Iron River Area","Unnamed off Banana Belt Rd","DEAD110","Unnamed off Banana Belt Rd",NA,"Offroad","Public",NA,"TRBB27, TRBB28, DEAD109, NA",2023-08-11 11:51:04.518295,2024-03-05 17:09:01.027533,"EXISTING"
"Iron River Area","FR242","DEAD111","FR242","Unnamed lake","Offroad","Public",NA,"FR24208, FR24209, NA",2023-08-13 19:50:00.654766,2024-03-05 17:09:01.040527,"EXISTING"
"Iron River Area","Unnamed off Wills Rd","DEAD112","Unnamed off Wills Rd",NA,"Offroad","Public",NA,"TRWL01, NA",2023-08-14 08:19:36.638052,2024-03-05 17:09:01.054518,"EXISTING"
"Iron River Area","Banana Belt Rd / Stephans Rd","DEAD113","Banana Belt Rd / Stephans Rd",NA,"Offroad","Public",NA,"BBLT14, DEAD113a",2023-08-14 16:05:59.551617,2024-03-05 17:09:01.065512,"EXISTING"
"Iron River Area","Banana Belt Rd / Stephans Rd","DEAD113a",NA,NA,"Trail","Public",NA,"DEAD113, NA",2024-03-04 08:43:27.323174,2024-03-05 17:09:01.080502,"EXISTING"
"Iron River Area","Banana Belt Rd / Stephans Rd","DEAD114","Banana Belt Rd / Stephans Rd",NA,"Offroad","Public",NA,"BBLT15, DEAD115, DEAD114a",2023-08-14 16:05:42.829096,2024-03-05 17:09:01.174448,"EXISTING"
"Iron River Area","Banana Belt Rd / Stephans Rd","DEAD114a",NA,NA,"Trail","Public",NA,"DEAD114, NA",2024-03-04 09:32:48.104927,2024-03-05 17:09:01.185442,"EXISTING"
"Iron River Area","Banana Belt Rd / Stephans Rd","DEAD115","Banana Belt Rd / Stephans Rd",NA,"Trail","Public",NA,"BBLT15, DEAD114, NA",2023-08-14 16:05:51.139284,2024-03-05 17:09:01.197435,"EXISTING"
"Iron River Area","Banana Belt Rd / Stephans Rd","DEAD116","Banana Belt Rd / Stephans Rd",NA,"Trail","Public",NA,"BBLT08, NA",2023-08-16 14:56:26.892405,2024-03-05 17:09:01.211428,"EXISTING"
"Iron River Area","Banana Belt Rd / Stephans Rd","DEAD117","Banana Belt Rd / Stephans Rd",NA,"Trail","Public",NA,"BBLT08, NA",2023-08-16 14:56:34.506836,2024-03-05 17:09:01.222431,"EXISTING"
"Iron River Area","Banana Belt Rd / Stephans Rd","DEAD118","Banana Belt Rd / Stephans Rd",NA,"Trail","Public",NA,"BBLT09, NA",2023-08-16 14:56:42.280954,2024-03-05 17:09:01.23941,"EXISTING"
"Iron River Area","Unnamed from Banana Belt Rd to Wills Rd","DEAD119","Unnamed from Banana Belt Rd to Wills Rd",NA,"Trail","Public",NA,"TRBB50, NA",2023-08-16 14:56:57.487217,2024-03-05 17:09:01.251415,"EXISTING"
"Iron River Area","Unnamed from Cty Rd A to Church Rd","DEAD120","Unnamed from Cty Rd A to Church Rd",NA,"Offroad","Public",NA,"TCAB03, NA",2023-08-19 10:04:23.346153,2024-03-05 17:09:01.267393,"EXISTING"
"Iron River Area","Unnamed from Cty Rd A to Church Rd","DEAD121","Unnamed from Cty Rd A to Church Rd",NA,"Offroad","Public",NA,"TCAB04, NA",2024-02-28 08:40:02.292393,2024-03-05 17:09:01.282404,"EXISTING"
"Iron River Area","Unnamed from Cty Rd A to Church Rd","DEAD121a",NA,NA,"Offroad","Public",NA,"DEAD121, NA",2024-02-28 08:40:02.093489,2024-03-05 17:09:01.295399,"EXISTING"
"Iron River Area","Unnamed from Cty Rd A to Church Rd","DEAD121b",NA,NA,"Offroad","Public",NA,"DEAD121, NA",2024-02-28 08:40:49.468363,2024-03-05 17:09:01.390326,"EXISTING"
"Iron River Area","Webster Rd","DEAD122","Webster Rd",NA,"Offroad","Public",NA,"WBSR02, DEAD122a",2024-02-28 08:17:46.032513,2024-03-05 17:09:01.410328,"EXISTING"
"Iron River Area","Webster Rd","DEAD122a",NA,NA,"Trail","Public",NA,"DEAD122, NA",2024-02-28 08:17:42.822353,2024-03-05 17:09:01.435301,"EXISTING"
"Iron River Area","Webster Rd","DEAD123","Webster Rd",NA,"Trail","Public",NA,"WBSR04, NA",2023-08-19 10:03:53.148438,2024-03-05 17:09:01.460283,"EXISTING"
"Iron River Area","Unnamed off Banana Belt Rd","DEAD124","Unnamed off Banana Belt Rd",NA,"Offroad","Public",NA,"TRBB07, NA",2023-08-20 15:20:39.269205,2024-03-05 17:09:01.48427,"EXISTING"
"Iron River Area","Webster Rd","DEAD125","Webster Rd",NA,"Trail","Public",NA,"WBSR01, NA",2023-08-20 15:20:55.955055,2024-03-05 17:09:01.506258,"EXISTING"
"Iron River Area","Webster Rd","DEAD126","Webster Rd",NA,"Offroad","Public",NA,"WBSR01, DEAD126a",2024-02-28 08:17:42.792814,2024-03-05 17:09:01.683155,"EXISTING"
"Iron River Area","Webster Rd","DEAD126a",NA,NA,"Trail","Public",NA,"DEAD126, NA",2024-02-28 08:17:40.700403,2024-03-05 17:09:01.695164,"EXISTING"
"Iron River Area","Unnamed from Cty Rd A to Church Rd","DEAD127","Unnamed from Cty Rd A to Church Rd",NA,"Offroad","Public",NA,"TCAB06, NA",2023-08-27 11:04:53.208836,2024-03-05 17:09:01.790096,"EXISTING"
"Iron River Area","FR417","DEAD128","FR417",NA,"Trail","Public",NA,"FR41702, NA",2023-09-04 09:25:36.043474,2024-03-05 17:09:01.803085,"EXISTING"
"Iron River Area","Loon Lake Rd","DEAD129","Unnamed near Loon Lake Rd","Private property (marked)","Trail","Public",NA,"TRLL03, NA",2023-12-16 19:22:24.50301,2024-03-05 17:09:01.815079,"EXISTING"
"Iron River Area","FR242B","DEAD130","FR242B",NA,"Trail","Public",NA,"FR242B02, NA",2023-10-01 10:11:23.007221,2024-03-05 17:09:01.825073,"EXISTING"
"Iron River Area","Unnamed off FR420","DEAD131","Unnamed off FR420",NA,"Trail","Public",NA,"TR42001, NA",2023-10-10 08:13:56.69948,2024-03-05 17:09:01.838066,"EXISTING"
"Iron River Area","Unnamed off FR420","DEAD132","Unnamed off FR420",NA,"Trail","Public",NA,"TR42001, NA",2023-10-10 08:13:29.854311,2024-03-05 17:09:01.851059,"EXISTING"
"Iron River Area","Unnamed off FR420","DEAD133","Unnamed off FR420",NA,"Trail","Public",NA,"TR42001, PPLCXX1, NA",2023-10-10 08:13:37.116768,2024-03-05 17:09:01.864052,"EXISTING"
"Iron River Area","FR420B","DEAD134","FR420B",NA,"Offroad","Public",NA,"FR420B01, NA",2023-10-10 08:13:50.235428,2024-03-05 17:09:01.877043,"EXISTING"
"Iron River Area","FR420B","DEAD135","FR420B",NA,"Trail","Public",NA,"FR420B02, NA",2023-10-10 08:14:51.533226,2024-03-05 17:09:01.887039,"EXISTING"
"Iron River Area","Unnamed off FR1290","DEAD136","Unnamed off FR1290",NA,"Trail","Public",NA,"TR129002, NA",2023-10-13 20:01:44.092991,2024-03-05 17:09:01.903048,"EXISTING"
"Iron River Area","Unnamed off FR1290","DEAD137","Unnamed off FR1290",NA,"Trail","Public",NA,"TR129002, NA",2023-10-13 20:02:59.879683,2024-03-05 17:09:02.017963,"EXISTING"
"Iron River Area","Unnamed off FR1290","DEAD138","Unnamed off FR1290","Private property (marked)","Trail","Public",NA,"TR129004, NA",2024-03-03 10:14:47.678385,2024-03-05 17:09:02.029957,"EXISTING"
"Iron River Area","Unnamed off FR1290","DEAD139","Unnamed off FR1290","Getsey Lake","Trail","Public",NA,"TR129003, NA",2023-10-13 20:03:34.353935,2024-03-05 17:09:02.04295,"EXISTING"
"Iron River Area","Unnamed off FR1290","DEAD140","Unnamed off FR1290","Getsey Lake","Trail","Public",NA,"TR129003, NA",2023-10-13 20:03:28.786659,2024-03-05 17:09:02.054941,"EXISTING"
"Iron River Area","Unnamed off FR1290","DEAD141","Unnamed off FR1290",NA,"Trail","Public",NA,"TR129003, NA",2023-10-13 20:03:34.305252,2024-03-05 17:09:02.069931,"EXISTING"
"Iron River Area","FR234","DEAD142","FR234",NA,"Trail","Public",NA,"FR23409, NA",2023-10-15 20:39:12.247522,2024-03-05 17:09:02.082945,"EXISTING"
"Iron River Area","FR234B","DEAD143","FR234B",NA,"Offroad","Public",NA,"FR234B03, DEAD143a",2023-10-19 08:30:08.88344,2024-03-05 17:09:02.093922,"EXISTING"
"Iron River Area","FR234B","DEAD143a",NA,NA,"Trail","Public",NA,"DEAD143, NA",2024-03-04 09:32:58.194065,2024-03-05 17:09:02.107931,"EXISTING"
"Iron River Area","FR234B","DEAD144","FR234B",NA,"Trail","Public",NA,"FR234B03, NA",2023-10-19 08:28:54.635078,2024-03-05 17:09:02.21385,"EXISTING"
"Iron River Area","FR234B","DEAD145","FR234B",NA,"Trail","Public",NA,"FR234B03, NA",2023-10-19 08:29:55.888847,2024-03-05 17:09:02.228842,"EXISTING"
"Iron River Area","FR234B","DEAD146","FR234B",NA,"Trail","Public",NA,"FR234B03, NA",2023-10-19 08:29:41.849081,2024-03-05 17:09:02.242834,"EXISTING"
"Iron River Area","FR234B","DEAD147","FR234B",NA,"Trail","Public",NA,"FR234B03, NA",2023-10-19 08:29:35.196953,2024-03-05 17:09:02.260826,"EXISTING"
"Iron River Area","FR234B","DEAD148","FR234B",NA,"Trail","Public",NA,"FR234B03, NA",2023-10-19 08:29:22.917046,2024-03-05 17:09:02.271833,"EXISTING"
"Iron River Area","FR407W","DEAD149","FR407W",NA,"Trail","Public",NA,"FR407W01, NA",2023-10-20 08:13:32.766962,2024-03-05 17:09:02.284826,"EXISTING"
"Iron River Area","FR425","DEAD150","FR242",NA,"Trail","Public",NA,"FR24218, NA",2023-10-20 08:13:40.761137,2024-03-05 17:09:02.297821,"EXISTING"
"Iron River Area","FR425","DEAD151","FR425",NA,"Trail","Public",NA,"FR42502, NA",2023-10-23 20:39:06.968903,2024-03-05 17:09:02.308794,"EXISTING"
"Iron River Area","FR425","DEAD152","FR425",NA,"Trail","Public",NA,"FR42502, NA",2023-10-23 20:39:06.824654,2024-03-05 17:09:02.319788,"EXISTING"
"Iron River Area","FR425","DEAD153","FR425",NA,"Trail","Public",NA,"FR42502, NA",2023-10-23 20:39:13.671404,2024-03-05 17:09:02.42573,"EXISTING"
"Iron River Area","FR425","DEAD154","FR425",NA,"Trail","Public",NA,"FR42502, NA",2023-10-23 20:42:11.848782,2024-03-05 17:09:02.439722,"EXISTING"
"Iron River Area","FR425","DEAD155","FR425",NA,"Trail","Public",NA,"FR42504, NA",2023-10-23 20:39:20.818041,2024-03-05 17:09:02.458723,"EXISTING"
"Iron River Area","FR425","DEAD156","FR425",NA,"Trail","Public",NA,"FR42505, NA",2024-02-26 14:30:31.777719,2024-03-05 17:09:02.478697,"EXISTING"
"Iron River Area","FR425","DEAD156a","DEAD156",NA,"Trail","Public",NA,"DEAD156, NA",2024-02-26 14:30:30.389553,2024-03-05 17:09:02.497688,"EXISTING"
"Iron River Area","FR234C","DEAD157","FR234C",NA,"Trail","Public",NA,"FR234C03, NA",2023-10-23 20:42:05.218412,2024-03-05 17:09:02.507681,"EXISTING"
"Iron River Area","FR234C","DEAD158","FR234C",NA,"Trail","Public",NA,"FR234C04, FR234C05, NA",2023-10-23 20:41:58.119452,2024-03-05 17:09:02.519674,"EXISTING"
"Iron River Area","Bailey Lake Rd","DEAD159","Bailey Lake Rd",NA,"Offroad","Public",NA,"BALY03, DEAD159a",2023-10-27 08:09:12.443396,2024-03-05 17:09:02.633606,"EXISTING"
"Iron River Area","Bailey Lake Rd","DEAD159a",NA,NA,"Trail","Public",NA,"DEAD159, NA",2024-03-04 09:33:08.608751,2024-03-05 17:09:02.645617,"EXISTING"
"Iron River Area","Hahn Rd","DEAD160","Unnamed off Hahn Rd",NA,"Offroad","Public",NA,"TRHN05, NA",2023-10-27 08:12:46.485935,2024-03-05 17:09:02.671604,"EXISTING"
"Iron River Area","Hahn Rd","DEAD161","Unnamed off Hahn Rd",NA,"Offroad","Public",NA,"TRHN05, TRHN06, DEAD162, NA",2023-10-27 08:09:31.797487,2024-03-05 17:09:02.682581,"EXISTING"
"Iron River Area","Hahn Rd","DEAD162","Unnamed off Hahn Rd",NA,"Offroad","Public",NA,"TRHN05, TRHN06, DEAD161, DEAD162a",2023-10-27 08:13:03.547848,2024-03-05 17:09:02.694588,"EXISTING"
"Iron River Area","Hahn Rd","DEAD162a",NA,NA,"Trail","Public",NA,"DEAD162, NA",2024-03-04 09:33:19.263399,2024-03-05 17:09:02.708584,"EXISTING"
"Iron River Area","Hahn Rd","DEAD163","Hahn Rd",NA,"Offroad","Public",NA,"HAHN04, NA",2023-10-27 08:17:47.943792,2024-03-05 17:09:02.721571,"EXISTING"
"Iron River Area","Hahn Rd","DEAD164","Hahn Rd",NA,"Offroad","Public",NA,"HAHN05, NA",2023-10-27 21:22:16.093168,2024-03-05 17:09:02.734568,"EXISTING"
"Iron River Area","Hahn Rd","DEAD165","Hahn Rd",NA,"Offroad","Public",NA,"HAHN05, NA",2023-10-27 21:22:22.66843,2024-03-05 17:09:02.827511,"EXISTING"
"Iron River Area","Hahn Rd","DEAD166","Unnamed from Hahn Rd to Battle Axe Rd",NA,"Trail","Public",NA,"TRHN10, NA",2023-10-27 21:22:42.125431,2024-03-05 17:09:02.844484,"EXISTING"
"Iron River Area","Hahn Rd","DEAD167","Hahn Rd",NA,"Offroad","Public",NA,"HAHN07, NA",2023-10-27 21:22:41.959526,2024-03-05 17:09:02.85848,"EXISTING"
"Iron River Area","Battle Axe Rd","DEAD168","Battle Axe Rd",NA,"Offroad","Public",NA,"BTLX10, DEAD168a",2023-10-30 21:11:41.585724,2024-03-05 17:09:02.87047,"EXISTING"
"Iron River Area","Battle Axe Rd","DEAD168a",NA,NA,"Trail","Public",NA,"DEAD168, NA",2024-03-04 09:33:29.931761,2024-03-05 17:09:02.882486,"EXISTING"
"Iron River Area","Battle Axe Rd","DEAD169","Battle Axe Rd",NA,"Offroad","Public",NA,"BTLX10, DEAD169a",2023-10-30 21:11:49.134754,2024-03-05 17:09:02.894459,"EXISTING"
"Iron River Area","Battle Axe Rd","DEAD169a",NA,NA,"Trail","Public",NA,"DEAD169, NA",2024-03-04 08:44:16.885405,2024-03-05 17:09:02.908451,"EXISTING"
"Iron River Area","Battle Axe Rd","DEAD170","Battle Axe Rd",NA,"Offroad","Public",NA,"BTLX10, NA",2023-10-30 21:11:55.374701,2024-03-05 17:09:02.928436,"EXISTING"
"Iron River Area","Battle Axe Rd","DEAD171","Battle Axe Rd",NA,"Offroad","Public",NA,"BTLX11, NA",2023-10-30 21:12:12.014948,2024-03-05 17:09:02.943432,"EXISTING"
"Iron River Area","Battle Axe Rd","DEAD172","Battle Axe Rd",NA,"Offroad","Public",NA,"BTLX12, DEAD172a",2023-10-30 21:15:10.90851,2024-03-05 17:09:03.058361,"EXISTING"
"Iron River Area","Battle Axe Rd","DEAD172a",NA,NA,"Trail","Public",NA,"DEAD172, NA",2024-03-04 08:44:16.058882,2024-03-05 17:09:03.072355,"EXISTING"
"Iron River Area","FR426","DEAD173","FR426",NA,"Trail","Public",NA,"FR42601, NA",2023-11-05 08:29:01.395493,2024-03-05 17:09:03.083351,"EXISTING"
"Iron River Area","FR426","DEAD174","FR426",NA,"Trail","Public",NA,"FR42601, NA",2024-02-26 15:41:44.671907,2024-03-05 17:09:03.099339,"EXISTING"
"Iron River Area","FR426","DEAD174a","Deadend off FR426",NA,"Trail","Public",NA,"DEAD174, NA",2024-02-26 15:42:32.803429,2024-03-05 17:09:03.111332,"EXISTING"
"Iron River Area","FR426","DEAD175","FR426",NA,"Trail","Public",NA,"FR42601, NA",2023-11-05 08:28:48.268002,2024-03-05 17:09:03.122328,"EXISTING"
"Iron River Area","FR426","DEAD176","FR426",NA,"Trail","Public",NA,"FR42601, NA",2023-11-05 08:29:37.428272,2024-03-05 17:09:03.135332,"EXISTING"
"Iron River Area","FR422","DEAD177","FR422",NA,"Trail","Public",NA,"FR42201, NA",2024-03-03 16:02:20.48963,2024-03-05 17:09:03.246256,"EXISTING"
"Iron River Area","FR422","DEAD177a","Deadend off FR422",NA,"Trail","Public",NA,"DEAD177, NA",2024-03-03 16:02:50.778603,2024-03-05 17:09:03.258263,"EXISTING"
"Iron River Area","FR419","DEAD178","FR419",NA,"Trail","Public",NA,"FR41915, NA",2023-11-07 19:31:22.117823,2024-03-05 17:09:03.270254,"EXISTING"
"Iron River Area","FR419","DEAD179","FR419",NA,"Trail","Public",NA,"FR41915, NA",2023-11-07 19:31:29.455359,2024-03-05 17:09:03.282236,"EXISTING"
"Iron River Area","FR419","DEAD180","FR419",NA,"Trail","Public",NA,"FR41915, NA",2024-03-01 09:04:42.295658,2024-03-05 17:09:03.297239,"EXISTING"
"Iron River Area","FR419","DEAD180a",NA,NA,"Trail","Public",NA,"DEAD180, NA",2024-03-01 09:04:51.317369,2024-03-05 17:09:03.309219,"EXISTING"
"Iron River Area","Battle Axe Rd","DEAD181","Battle Axe Rd",NA,"Offroad","Public",NA,"BTLX05, NA",2023-11-09 08:11:31.737377,2024-03-05 17:09:03.325224,"EXISTING"
"Iron River Area","Long Lake Rd","DEAD182","Long Lake Rd",NA,"Offroad","Public",NA,"LNGL01, NA",2023-11-09 14:14:57.608801,2024-03-05 17:09:03.336218,"EXISTING"
"Iron River Area","Long Lake Rd","DEAD183","Long Lake Rd",NA,"Offroad","Public",NA,"LNGL01, NA",2023-11-09 14:14:49.363974,2024-03-05 17:09:03.348196,"EXISTING"
"Iron River Area","Long Lake Rd","DEAD184","Long Lake Rd","ATV/Snow Trail 31 (Buckskin)","Offroad","Public",NA,"LNGL01, NA",2023-11-09 14:15:08.300976,2024-03-05 17:09:03.460133,"EXISTING"
"Iron River Area","Chantelois Rd","DEAD185","Chantelois Rd",NA,"Offroad","Public",NA,"CHNT01, NA",2023-11-09 14:18:56.596333,2024-03-05 17:09:03.472126,"EXISTING"
"Iron River Area","Jones Lake Rd","DEAD186","Unnamed off Jones Lake Rd",NA,"Trail","Public",NA,"TRJL01, NA",2023-11-09 16:17:00.119541,2024-03-05 17:09:03.488115,"EXISTING"
"Iron River Area","Jones Lake Rd","DEAD187","Unnamed off Jones Lake Rd",NA,"Trail","Public",NA,"TRJL01, NA",2023-11-09 16:17:11.806257,2024-03-05 17:09:03.501106,"EXISTING"
"Iron River Area","Jones Lake Rd","DEAD188","Jones Lake Rd, Lake Ahmeek Rd, Gallagher Rd",NA,"Trail","Public",NA,"JNSL07, GLGR03, AHMK01, NA",2023-11-09 16:17:22.513597,2024-03-05 17:09:03.522099,"EXISTING"
"Iron River Area","Lake Ahmeek Rd","DEAD189","Unnamed off Lake Ahmeek Rd",NA,"Trail","Public",NA,"TRAM22, NA",2023-11-09 16:31:25.165472,2024-03-05 17:09:03.533089,"EXISTING"
"Iron River Area","FR449","DEAD190","FR449",NA,"Trail","Public",NA,"FR44902, NA",2023-12-20 16:58:46.375568,2024-03-05 17:09:03.557077,"EXISTING"
"Iron River Area","FR818","DEAD191","FR818",NA,"Trail","Public","Ends at very nice 360 vista view","FR81801, NA",2023-12-20 16:58:55.442713,2024-03-05 17:09:03.666014,"EXISTING"
"Iron River Area","Jackman Lake Rd","DEAD192","Jackman Lake Rd",NA,"Offroad","Public","logged in May 2023","JKMN06, NA",2023-12-06 17:23:22.906391,2024-03-05 17:09:03.684004,"EXISTING"
"Iron River Area","Unnamed from Jackman Lake Rd to W Long Lake Rd","DEAD193","Unnamed from Jackman Lake Rd to W Long Lake Rd",NA,"Offroad","Public",NA,"TRJM01, NA",2023-12-06 17:16:33.982117,2024-03-05 17:09:03.698992,"EXISTING"
"Iron River Area","Unnamed from Jackman Lake Rd to W Long Lake Rd","DEAD194","Unnamed from Jackman Lake Rd to W Long Lake Rd",NA,"Trail","Public",NA,"TRJM02, NA",2023-12-06 17:22:24.648241,2024-03-05 17:09:03.710985,"EXISTING"
"Iron River Area","Unnamed from Jackman Lake Rd to W Long Lake Rd","DEAD195","Unnamed from Jackman Lake Rd to W Long Lake Rd",NA,"Offroad","Public",NA,"TRJM05, NA",2023-12-06 17:42:14.627735,2024-03-05 17:09:03.735971,"EXISTING"
"Iron River Area","Unnamed near Jackman Lake Rd","DEAD196","Unnamed near Jackman Lake Rd",NA,"Trail","Public",NA,"TRJM11, NA",2023-12-06 17:44:02.10504,2024-03-05 17:09:03.74898,"EXISTING"
"Iron River Area","Unnamed near Jackman Lake Rd","DEAD197","Unnamed near Jackman Lake Rd","Private property (marked)","Trail","Public",NA,"TRJM11, NA",2023-12-06 17:44:24.359613,2024-03-05 17:09:03.84391,"EXISTING"
"Iron River Area","Silbersack Rd","DEAD198","Silbersack Rd / Lavin Rd",NA,"Offroad","Public",NA,"SLBR14, NA",2023-12-07 13:44:25.754929,2024-03-05 17:09:03.858919,"EXISTING"
"Iron River Area","Holvenstot Rd","DEAD199","Holvenstot Rd",NA,"Offroad","Public",NA,"HLVS02, NA",2024-03-03 19:47:44.58898,2024-03-05 17:09:03.873913,"EXISTING"
"Iron River Area","Holvenstot Rd","DEAD199a","Deadend off Holvenstot Rd",NA,"Offroad","Public",NA,"DEAD199, NA",2024-03-03 19:47:55.871212,2024-03-05 17:09:03.885885,"EXISTING"
"Iron River Area","Bailey Lake Rd","DEAD200","Bailey Lake Rd",NA,"Offroad","Public",NA,"BALY09, NA",2023-12-07 13:58:05.029221,2024-03-05 17:09:03.898897,"EXISTING"
"Iron River Area","Bailey Lake Rd","DEAD201","Bailey Lake Rd",NA,"Offroad","Public",NA,"BALY10, NA",2023-12-07 13:58:16.30759,2024-03-05 17:09:03.914883,"EXISTING"
"Iron River Area","FR241","DEAD202","FR241",NA,"Trail","Public",NA,"FR24118, FR24119, NA",2023-12-12 14:56:13.308895,2024-03-05 17:09:03.926861,"EXISTING"
"Iron River Area","Hahn Rd","DEAD203","Unnamed off Hahn Rd",NA,"Trail","Public",NA,"TRHN20, NA",2023-12-13 18:00:51.673901,2024-03-05 17:09:03.936855,"EXISTING"
"Iron River Area","E Long Lake Rd","DEAD204","E Long Lake Rd",NA,"Offroad","Public",NA,"LNGE05, DEAD204a",2023-12-14 20:14:28.182924,2024-03-05 17:09:03.955845,"EXISTING"
"Iron River Area","E Long Lake Rd","DEAD204a",NA,NA,"Trail","Public",NA,"DEAD204, NA",2023-12-14 20:14:15.853867,2024-03-05 17:09:04.116753,"EXISTING"
"Iron River Area","Unnamed off E Long Lake Rd","DEAD205","Unnamed off E Long Lake Rd","Private driveway (marked)","Offroad","Public",NA,"TRLE10, TRLE11, NA",2023-12-14 20:29:29.851387,2024-03-05 17:09:04.145737,"EXISTING"
"Iron River Area","Unnamed off E Long Lake Rd","DEAD206","Unnamed off E Long Lake Rd",NA,"Trail","Public",NA,"TRLE11, NA",2023-12-14 20:29:39.6717,2024-03-05 17:09:04.161726,"EXISTING"
"Iron River Area","FR242","DEAD207","FR242","Private driveway (unmarked)","Offroad","Public",NA,"FR24201, NA",2023-12-14 20:32:30.914129,2024-03-05 17:09:04.261671,"EXISTING"
"Iron River Area","FR242","DEAD208","FR242",NA,"Trail","Public",NA,"FR24202, NA",2023-12-14 20:35:16.230719,2024-03-05 17:09:04.282701,"EXISTING"
"Iron River Area","Loon Lake Rd","DEAD209","Unnamed near Loon Lake Rd","Private driveway (marked)","Trail","Public",NA,"TRLL08, NA",2023-12-16 19:21:49.011967,2024-03-05 17:09:04.297676,"EXISTING"
"Iron River Area","Loon Lake Rd","DEAD210","Unnamed near Loon Lake Rd","Private land (unmarked)","Trail","Public",NA,"TRLL14, NA",2023-12-16 19:24:46.672466,2024-03-05 17:09:04.318665,"EXISTING"
"Iron River Area","Loon Lake Rd","DEAD211","Unnamed near Loon Lake Rd",NA,"Trail","Public",NA,"TRLL09, NA",2023-12-16 19:22:42.687054,2024-03-05 17:09:04.329659,"EXISTING"
"Iron River Area","County Line Rd","DEAD212","County Line Rd",NA,"Offroad","Public",NA,"BDCL13, DEAD212a",2024-02-23 08:51:08.800325,2024-03-05 17:09:04.343649,"EXISTING"
"Iron River Area","County Line Rd","DEAD212a",NA,NA,"Trail","Public",NA,"DEAD212, NA",2024-02-23 08:51:25.998693,2024-03-05 17:09:04.358641,"EXISTING"
"Iron River Area","FR241","DEAD213","FR241",NA,"Trail","Public",NA,"FR24112, NA",2023-12-18 20:51:49.444162,2024-03-05 17:09:04.375631,"EXISTING"
"Iron River Area","DEADEND (FR241E)","DEAD214","FR241",NA,"Trail","Public",NA,"FR24113, DEAD214a, DEAD214b",2024-03-01 08:19:54.977779,2024-03-05 17:09:04.486567,"EXISTING"
"Iron River Area","FR241E","DEAD214a","FR241E",NA,"Trail","Public",NA,"DEAD214, DEAD214b, NA",2023-12-18 20:52:48.994692,2024-03-05 17:09:04.501558,"EXISTING"
"Iron River Area","FR241E","DEAD214b","FR241E",NA,"Trail","Public",NA,"DEAD214, DEAD214a, NA",2023-12-18 20:51:42.528698,2024-03-05 17:09:04.524544,"EXISTING"
"Iron River Area","FR420","DEAD215","FR420",NA,"Trail","Public",NA,"FR42003, NA",2023-12-18 20:51:21.711737,2024-03-05 17:09:04.550529,"EXISTING"
"Iron River Area","FR418","DEAD216","FR418",NA,"Trail","Public",NA,"FR41801, NA",2023-12-19 20:31:57.574722,2024-03-05 17:09:04.562525,"EXISTING"
"Iron River Area","FR418","DEAD217","FR418",NA,"Trail","Public",NA,"FR41801, NA",2023-12-19 20:31:57.409517,2024-03-05 17:09:04.575518,"EXISTING"
