"Project","Primary","trackID","From","To","Type","Ownership","Note","Connected","modin","modout","status"
"Iron River Area","ATV/Snow Trail 24","ATV2453","Unnamed off Pero Rd","Unnamed off Pero Rd","ATV","Public",NA,"ATV24523, TRPO35, TRPO36, ATV2454, TRPO32",2024-02-27 17:00:30.834288,2024-03-05 17:08:46.131268,"EXISTING"
"Iron River Area","ATV/Snow Trail 24","ATV2454","Unnamed off Pero Rd","Unnamed off Pero Rd","ATV","Public",NA,"ATV2453, TRPO32, ATV2455, TRPO39",2024-02-27 17:00:41.449047,2024-03-05 17:08:46.142262,"EXISTING"
"Iron River Area","ATV/Snow Trail 24","ATV2455","Unnamed off Pero Rd","Unnamed off Pero Rd","ATV","Public",NA,"ATV2454, TRPO39, ATV2456, TRPO40",2024-02-27 17:00:52.127998,2024-03-05 17:08:46.158253,"EXISTING"
"Iron River Area","ATV/Snow Trail 24","ATV2456","Unnamed off Pero Rd","Unnamed off Pero Rd","ATV","Public",NA,"ATV2455, TRPO40, ATV2457, TRPO25",2024-02-27 17:01:02.892183,2024-03-05 17:08:46.184238,"EXISTING"
"Iron River Area","ATV/Snow Trail 24","ATV2457","Unnamed off Pero Rd","Unnamed off Pero Rd","ATV","Public",NA,"ATV2456, TRPO25, TRPO38",2024-02-27 17:03:39.05563,2024-03-05 17:08:46.203892,"EXISTING"
"Iron River Area","ATV/Snow Trail 24","ATV2491","Cty Rd A","ATV/Snow Trail 31 (Buckskin)","ATV","Public",NA,"NA, ATV3122, ATV3123",2024-02-26 17:47:20.120815,2024-03-05 17:08:46.235872,"EXISTING"
"Iron River Area","ATV Trail 25","ATV2501","Lake Ahmeek Rd","Unnamed off Lake Ahmeek Rd","ATV","Public",NA,"AHMK07, AHMK08, AHMK01, ATV2502, TRAM05",2023-06-10 11:26:27.655512,2024-03-05 17:08:46.25786,"EXISTING"
"Iron River Area","ATV Trail 25","ATV2502","Unnamed off Lake Ahmeek Rd","Unnamed near Lake Ahmeek Rd","ATV","Public","TO BE CONTINUED","ATV2501, TRAM05, ATV2503, TRAM10",2023-06-10 11:26:44.551617,2024-03-05 17:08:46.273853,"EXISTING"
"Iron River Area","ATV/Snow Trail 31 (Buckskin)","ATV3116","Private Property (Quarry)","Unnamed near Ruth Lake Rd","ATV","Public",NA,"NA, ATV3117, TRTHB04",2024-02-26 16:00:35.680353,2024-03-05 17:08:46.290842,"EXISTING"
"Iron River Area","ATV/Snow Trail 31 (Buckskin)","ATV3117","Unnamed near Ruth Lake Rd","Unnamed near Ruth Lake Rd","ATV","Public",NA,"ATV3116, TRTHB04, ATV3118, TRTHB02",2024-02-26 16:00:35.714333,2024-03-05 17:08:46.308832,"EXISTING"
"Iron River Area","ATV/Snow Trail 31 (Buckskin)","ATV3118","Unnamed near Ruth Lake Rd","Unnamed near Ruth Lake Rd","ATV","Public",NA,"ATV3117, TRTHB02, ATV3119, TRTHB01",2024-02-26 16:00:35.74931,2024-03-05 17:08:46.335817,"EXISTING"
"Iron River Area","ATV/Snow Trail 31 (Buckskin)","ATV3119",NA,NA,"ATV","Public",NA,"ATV3118, TRTHB01, ATV3120, TRTHA02",2024-02-26 16:00:35.784311,2024-03-05 17:08:46.364799,"EXISTING"
"Iron River Area","ATV/Snow Trail 31 (Buckskin)","ATV3120","Unnamed off Ruth Lake Rd",NA,"ATV","Public",NA,"ATV3119, TRTHA02, ATV3121, TRTHA01",2024-02-26 16:00:35.816292,2024-03-05 17:08:46.390753,"EXISTING"
"Iron River Area","ATV/Snow Trail 31 (Buckskin)","ATV3121","Unnamed near Ruth Lake Rd","Unnamed off Ruth Lake Rd","ATV","Public",NA,"ATV3120, TRTHA01, ATV3122, TRTHA02",2024-02-26 16:00:35.847273,2024-03-05 17:08:46.421106,"EXISTING"
